file,term,context,classification
codex-clone-prompt.md,E&T Co,"m.au` | `concreterscamden.com.au` | | `E&T Co Concreters Melbourne`, `E&T Co` | `[[BRAND_NAME]]` | | `03 4427 9541` | `[[NSW_PHONE]]` | | `Melbourne`, `Melbourn",BRAND LEAKAGE - name in data
codex-clone-prompt.md,E&T,# Codex Prompt — Clone E&T Melbourne WXR into Camden Concreting > Paste everything below the line into Codex. Up,BRAND LEAKAGE - name in data
codex-clone-prompt.md,E&T,"| | `bestconcretersmelbourne.com.au` | `concreterscamden.com.au` | | `E&T Co Concreters Melbourne`, `E&T Co` | `[[BRAND_NAME]]` | | `03 4427 9541` | `[[NSW_PHON",BRAND LEAKAGE - name in data
codex-clone-prompt.md,E&T,"m.au` | `concreterscamden.com.au` | | `E&T Co Concreters Melbourne`, `E&T Co` | `[[BRAND_NAME]]` | | `03 4427 9541` | `[[NSW_PHONE]]` | | `Melbourne`, `Melbourn",BRAND LEAKAGE - name in data
codex-clone-prompt.md,eamptco,"> Paste everything below the line into Codex. Upload alongside it: > `eamptcoconcretersmelbourne_WordPress_2026-08-14.xml`, `suburbs.json`, > `camden-site-struc",source-wxr-filename-reference
codex-clone-prompt.md,eamptco,mage filenames. **Working directory:** `./camden-clone/` **Input:** `eamptcoconcretersmelbourne_WordPress_2026-08-14.xml` **Output:** `camden-concreting-import,source-wxr-filename-reference
CONTEXT.md,E&T Co,"t. A new finding: the Elementor kit still declares `site_name` as **""E&T Co Concreters Camden""** — the source Melbourne business — while the copy uses ""CoreX C",our-own-reporting-of-the-issue
CONTEXT.md,E&T,"t. A new finding: the Elementor kit still declares `site_name` as **""E&T Co Concreters Camden""** — the source Melbourne business — while the copy uses ""CoreX C",our-own-reporting-of-the-issue
CONTEXT.md,eamptco,A7FF47A1C8C351DF06AF8033518EC657AC57169294992646B035A32B9E773884 eamptcoconcretersmelbourne_WordPress_2026-08-14.xml 45B61BF040742C69156DCB6CFE1C5C9B63,source-wxr-filename-reference
DECISION-06-resolvable-items.md,E&T Co,"port, not in the artifact The Elementor kit declares `site_name` as ""E&T Co Concreters Camden"" while the copy uses ""CoreX Concreters Camden"" 345 times. A site",our-own-reporting-of-the-issue
DECISION-06-resolvable-items.md,E&T Co,"able WXR.** 2. Add a preflight assertion: zero occurrences of ""E&T"", ""E&T Co"", or the source business name in kit settings, theme mods, site title, tagline, or",our-own-reporting-of-the-issue
DECISION-06-resolvable-items.md,E&T,"port, not in the artifact The Elementor kit declares `site_name` as ""E&T Co Concreters Camden"" while the copy uses ""CoreX Concreters Camden"" 345 times. A site",our-own-reporting-of-the-issue
DECISION-06-resolvable-items.md,E&T,"e immutable WXR.** 2. Add a preflight assertion: zero occurrences of ""E&T"", ""E&T Co"", or the source business name in kit settings, theme mods, site title, tagli",our-own-reporting-of-the-issue
DECISION-06-resolvable-items.md,E&T,"able WXR.** 2. Add a preflight assertion: zero occurrences of ""E&T"", ""E&T Co"", or the source business name in kit settings, theme mods, site title, tagline, or",our-own-reporting-of-the-issue
